32138, 小鎮, 碎玉軒, 甄嬛的房間
32148, 小鎮, 碎玉軒, 甄嬛的浴室
32158, 小鎮, 碎玉軒, 沈眉莊的房間
32168, 小鎮, 碎玉軒, 沈眉莊的浴室
32178, 小鎮, 碎玉軒, 浣碧的房間
32188, 小鎮, 碎玉軒, 浣碧的浴室
32198, 小鎮, 碎玉軒, 崔槿汐的房間
32139, 小鎮, 碎玉軒, 崔槿汐的浴室
32149, 小鎮, 碎玉軒, 流朱的房間
32159, 小鎮, 碎玉軒, 流朱的浴室
32179, 小鎮, 碎玉軒, 公共休息室
32189, 小鎮, 碎玉軒, 廚房
32199, 小鎮, 延禧宮, 主房間
32140, 小鎮, 延禧宮, 浴室
32150, 小鎮, 存菊堂, 主房間
32160, 小鎮, 存菊堂, 浴室
32170, 小鎮, 景仁宮, 主房間
32180, 小鎮, 景仁宮, 浴室
32190, 小鎮, 果郡王府, 主房間
32200, 小鎮, 果郡王府, 浴室
32141, 小鎮, 太醫院, 主房間
32151, 小鎮, 太醫院, 浴室
32161, 小鎮, 交泰殿, 酒吧
32171, 小鎮, 寶華殿, 咖啡店
32181, 小鎮, 內務府, 教室
32191, 小鎮, 內務府, 圖書館
32201, 小鎮, 內務府, 走廊
32142, 小鎮, 御花園, 公園
32152, 小鎮, 體元殿, 供應店
32162, 小鎮, 冷泉亭, 商店
32193, 小鎮, 壽康宮, 主房間
32203, 小鎮, 壽康宮, 浴室
32174, 小鎮, 坤寧宮, 主房間
32184, 小鎮, 坤寧宮, 浴室
32194, 小鎮, 鐘粹宮, 主房間
32204, 小鎮, 鐘粹宮, 浴室
32172, 小鎮, 太和宮, 空房間1
32182, 小鎮, 太和宮, 空房間2
32192, 小鎮, 太和宮, 空房間3
32202, 小鎮, 太和宮, 空房間4
32143, 小鎮, 太和宮, 男性浴室
32153, 小鎮, 太和宮, 女性浴室
32163, 小鎮, 太和宮, 公共休息室
32173, 小鎮, 太和宮, 廚房
32183, 小鎮, 太和宮, 花園
32205, 小鎮, 養心殿, 皇上的房間
32215, 小鎮, 養心殿, 蘇培盛的房間
32225, 小鎮, 養心殿, 公共休息室
32235, 小鎮, 養心殿, 廚房
32245, 小鎮, 養心殿, 浴室
32255, 小鎮, 養心殿, 花園
32265, 小鎮, 樂壽宮, Tom和Jane Moreno的臥室
32275, 小鎮, 樂壽宮, 空臥室
32206, 小鎮, 樂壽宮, 公共休息室
32216, 小鎮, 樂壽宮, 廚房
32226, 小鎮, 樂壽宮, 浴室
32236, 小鎮, 樂壽宮, 花園
32246, 小鎮, 翊坤宮, 年世蘭和頌芝的臥室
32256, 小鎮, 翊坤宮, 曹琴默的臥室
32266, 小鎮, 翊坤宮, 公共休息室
32276, 小鎮, 翊坤宮, 廚房
32207, 小鎮, 翊坤宮, 浴室
32217, 小鎮, 翊坤宮, 花園
