32227, 小鎮, <全部>, 木製木製床榻榻  
32237, 小鎮, <全部>, 四腳書案  
32247, 小鎮, <全部>, 衣箱  
32257, 小鎮, <全部>, 木製貨架  
32267, 小鎮, <全部>, 畫案  
32277, 小鎮, <全部>, 銅盆洗手台
32208, 小鎮, <全部>, 木桶浴具  
32218, 小鎮, <全部>, 馬桶椅  
32228, 小鎮, <全部>, 洗菜石槽  
32238, 小鎮, <全部>, 冰鑑  
32248, 小鎮, <全部>, 烤餅爐  
32258, 小鎮, <全部>, 炊房灶台  
32268, 小鎮, <全部>, 公共長桌  
32278, 小鎮, <全部>, 公共條凳  
32209, 小鎮, <全部>, 琴瑟  
32219, 小鎮, <全部>, 拍板  
32229, 小鎮, <全部>, 酒樓客座椅  
32239, 小鎮, <全部>, 酒樓櫃檯  
32249, 小鎮, <全部>, 茶樓櫃檯  
32259, 小鎮, <全部>, 茶樓客座椅  
32269, 小鎮, <全部>, 古琴  
32279, 小鎮, <全部>, 白板書架  
32210, 小鎮, <全部>, 博戲桌  
32220, 小鎮, <全部>, 文房桌  
32230, 小鎮, <全部>, 算籌  
32240, 小鎮, <全部>, 閱書榻  
32250, 小鎮, <全部>, 竹製書架  
32260, 小鎮, <全部>, 文會桌  
32270, 小鎮, <全部>, 書房椅  
32280, 小鎮, <全部>, 文房四寶  
32211, 小鎮, <全部>, 藥鋪櫃檯  
32221, 小鎮, <全部>, 雜貨店櫃檯  
32231, 小鎮, <全部>, 藥鋪架子  
32241, 小鎮, <全部>, 雜貨店架子  
32251, 小鎮, <全部>, 藥鋪台案  
32261, 小鎮, <全部>, 雜貨台案  
32271, 小鎮, <全部>, 供應品貨架  
32281, 小鎮, <全部>, 供應店櫃檯  
32212, 小鎮, <全部>, 商鋪台案  
32222, 小鎮, <全部>, 宿舍小庭院  
32232, 小鎮, <全部>, 四合院花園  
32242, 小鎮, <全部>, 石凳  
32252, 小鎮, <全部>, 公園亭子  
32262, 小鎮, <全部>, 古箏
32272, 小鎮, <全部>, 石鎖舉重  
32282, 小鎮, <全部>, 琴棋桌
