32285, 小鎮, 碎玉軒, 甄嬛的房間, sp-A
32295, 小鎮, 碎玉軒, 沈眉莊的房間, sp-A
32305, 小鎮, 碎玉軒, 沈眉莊的房間, sp-B
32315, 小鎮, 碎玉軒, 浣碧的房間, sp-A
32286, 小鎮, 碎玉軒, 崔槿汐的房間, sp-A
32296, 小鎮, 碎玉軒, 流朱的房間, sp-A
32306, 小鎮, 延禧宮, 主房間, sp-A
32316, 小鎮, 延禧宮, 主房間, sp-B
32287, 小鎮, 存菊堂, 主房間, sp-A
32297, 小鎮, 存菊堂, 主房間, sp-B
32307, 小鎮, 景仁宮, 主房間, sp-A
32317, 小鎮, 景仁宮, 主房間, sp-B
32288, 小鎮, 果郡王府, 主房間, sp-A
32298, 小鎮, 果郡王府, 主房間, sp-B
32308, 小鎮, 太醫院, 主房間, sp-A
32318, 小鎮, 太醫院, 主房間, sp-B
32289, 小鎮, 壽康宮, 主房間, sp-A
32299, 小鎮, 壽康宮, 主房間, sp-B
32309, 小鎮, 坤寧宮, 主房間, sp-A
32319, 小鎮, 坤寧宮, 主房間, sp-B
32290, 小鎮, 鐘粹宮, 主房間, sp-A
32300, 小鎮, 鐘粹宮, 主房間, sp-B
32310, 小鎮, 養心殿, 皇上的房間, sp-A
32320, 小鎮, 養心殿, 皇上的房間, sp-B
32291, 小鎮, 養心殿, 蘇培盛的房間, sp-A
32301, 小鎮, 養心殿, 蘇培盛的房間, sp-B
32311, 小鎮, 樂壽宮, Tom和Jane Moreno的臥室, sp-A
32321, 小鎮, 樂壽宮, Tom和Jane Moreno的臥室, sp-B
32292, 小鎮, 樂壽宮, 空臥室, sp-A
32302, 小鎮, 樂壽宮, 空臥室, sp-B
32312, 小鎮, 翊坤宮, 年世蘭和頌芝的臥室, sp-A
32322, 小鎮, 翊坤宮, 年世蘭和頌芝的臥室, sp-B
32293, 小鎮, 翊坤宮, 曹琴默的臥室, sp-A
32303, 小鎮, 翊坤宮, 曹琴默的臥室, sp-B
32313, 小鎮, 太和宮, 空房間1, sp-A
32323, 小鎮, 太和宮, 空房間1, sp-B
32294, 小鎮, 太和宮, 空房間2, sp-A
32304, 小鎮, 太和宮, 空房間3, sp-A
32314, 小鎮, 太和宮, 空房間3, sp-B
32324, 小鎮, 太和宮, 空房間4, sp-A
